Year,Quarter,date,D,E,g_div_trail,g_div_fwd,g_earn_trail,g_earn_fwd
1933,1,3/1/1933,0.485,0.4175,-0.422501295,-0.091708426,-0.293652239,0.080503219
1933,2,6/1/1933,0.47,0.425,-0.33950714,-0.054658413,-0.182321557,0.089948237
1933,3,9/1/1933,0.455,0.4325,-0.242730685,-0.016620881,-0.061644163,0.098981834
1933,4,12/1/1933,0.44,0.44,-0.127833372,0.022472856,0.070617567,0.107630664
1934,1,3/1/1934,0.4425,0.4525,-0.091708426,0.016807118,0.080503219,0.478256771
1934,2,6/1/1934,0.445,0.465,-0.054658413,-0.011299555,0.089948237,0.554996842
1934,3,9/1/1934,0.4475,0.4775,-0.016620881,-0.016901811,0.098981834,0.464754273
1934,4,12/1/1934,0.45,0.49,0.022472856,0.043485112,0.107630664,0.438913042
1935,1,3/1/1935,0.45,0.73,0.016807118,0.105360516,0.478256771,0.078988411
1935,2,6/1/1935,0.44,0.81,-0.011299555,0.223143551,0.554996842,0.08288766
1935,3,9/1/1935,0.44,0.76,-0.016901811,0.32668423,0.464754273,0.212561442
1935,4,12/1/1935,0.47,0.76,0.043485112,0.426518517,0.438913042,0.294239473
1936,1,3/1/1936,0.5,0.79,0.105360516,0.405465108,0.078988411,0.340082349
1936,2,6/1/1936,0.55,0.88,0.223143551,0.423483614,0.08288766,0.28483712
1936,3,9/1/1936,0.61,0.94,0.32668423,0.232931558,0.212561442,0.260726262
1936,4,12/1/1936,0.72,1.02,0.426518517,0.105360516,0.294239473,0.102415005
1937,1,3/1/1937,0.75,1.11,0.405465108,0.039220713,0.340082349,-0.134819223
1937,2,6/1/1937,0.84,1.17,0.423483614,-0.126751706,0.28483712,-0.418368513
1937,3,9/1/1937,0.77,1.22,0.232931558,-0.15415068,0.260726262,-0.67688666
1937,4,12/1/1937,0.8,1.13,0.105360516,-0.450201002,0.102415005,-0.568504735
1938,1,3/1/1938,0.78,0.97,0.039220713,-0.405465108,-0.134819223,-0.312031101
1938,2,6/1/1938,0.74,0.77,-0.126751706,-0.33377318,-0.418368513,-0.013072082
1938,3,9/1/1938,0.66,0.62,-0.15415068,-0.164303051,-0.67688666,0.26731477
1938,4,12/1/1938,0.51,0.64,-0.450201002,0.195308752,-0.568504735,0.340926587
1939,1,3/1/1939,0.52,0.71,-0.405465108,0.191891008,-0.312031101,0.332439973
1939,2,6/1/1939,0.53,0.76,-0.33377318,0.204095356,-0.013072082,0.313657559
1939,3,9/1/1939,0.56,0.81,-0.164303051,0.179340929,0.26731477,0.287682072
1939,4,12/1/1939,0.62,0.9,0.195308752,0.077558234,0.340926587,0.15415068
1940,1,3/1/1940,0.63,0.99,0.191891008,0.076372979,0.332439973,0.068319244
1940,2,6/1/1940,0.65,1.04,0.204095356,0.059719235,0.313657559,0.046956983
1940,3,9/1/1940,0.67,1.08,0.179340929,0.043802623,0.287682072,0.096992266
1940,4,12/1/1940,0.67,1.05,0.077558234,0.057987258,0.15415068,0.099629841
1941,1,3/1/1941,0.68,1.06,0.076372979,0.014598799,0.068319244,-0.019048195
1941,2,6/1/1941,0.69,1.09,0.059719235,-0.044451763,0.046956983,-0.106380404
1941,3,9/1/1941,0.7,1.19,0.043802623,-0.121360857,0.096992266,-0.235828711
1941,4,12/1/1941,0.71,1.16,0.057987258,-0.185142433,0.099629841,-0.118861203
1942,1,3/1/1942,0.69,1.04,0.014598799,-0.156569061,-0.019048195,0.028437935
1942,2,6/1/1942,0.66,0.98,-0.044451763,-0.112117298,-0.106380404,0.115512887
1942,3,9/1/1942,0.62,0.94,-0.121360857,-0.032789823,-0.235828711,0.138836445
1942,4,12/1/1942,0.59,1.03,-0.185142433,0.03333642,-0.118861203,-0.091434206
1943,1,3/1/1943,0.59,1.07,-0.156569061,0.049596941,0.028437935,-0.140229341
1943,2,6/1/1943,0.59,1.1,-0.112117298,0.065597282,0.115512887,-0.178691789
1943,3,9/1/1943,0.6,1.08,-0.032789823,0.064538521,0.138836445,-0.182321557
1943,4,12/1/1943,0.61,0.94,0.03333642,0.048009219,-0.091434206,-0.010695289
1944,1,3/1/1944,0.62,0.93,0.049596941,0.047252885,-0.140229341,0.031748698
1944,2,6/1/1944,0.63,0.92,0.065597282,0.031252544,-0.178691789,0.083381609
1944,3,9/1/1944,0.64,0.9,0.064538521,0.030771659,-0.182321557,0.09531018
1944,4,12/1/1944,0.64,0.93,0.048009219,0.030771659,-0.010695289,0.031748698
1945,1,3/1/1945,0.65,0.96,0.047252885,0.045120435,0.031748698,-0.064538521
1945,2,6/1/1945,0.65,1,0.031252544,0.045120435,0.083381609,-0.174353387
1945,3,9/1/1945,0.66,0.99,0.030771659,0.044451763,0.09531018,-0.10648348
1945,4,12/1/1945,0.66,0.96,0.030771659,0.073025135,0.031748698,0.099090903
1946,1,3/1/1946,0.68,0.9,0.045120435,0.057158414,-0.064538521,0.344377416
1946,2,6/1/1946,0.68,0.84,0.045120435,0.111225635,-0.174353387,0.538996501
